,Pokemon,Behavior
4,Parasect,"Throughout their lives, the mushrooms continues to drain their hosts until there is nothing left"
5,Parasect," At that point, they scatter spores over their hosts’ eggs to restart the cycle"
6,Parasect," If a Parasect's mushroom is entirely removed, the Pokémon enters a comatose state indefinitely"
0,Diglett,"Diglett live only a few feet underground, and feed on plant roots"
1,Diglett," They burrow through the ground at a shallow depth, leaving raised earth in their wake, perfect for planting crops"
2,Diglett, Diglett are frequently kept on farms for this reason
3,Diglett," Diglett have very thin skin, and thus if a Diglett is exposed to light its blood will heat up, causing it to grow weak"
4,Diglett," This weakness to heat causes Diglett to prefer dark places, sticking their heads up only when the sun is not bright"
5,Diglett," Otherwise, they pop up in caves"
6,Diglett," Diglett make their homes in tunnels and caves under the earth, most of which are made by burrowing Onix"
7,Diglett,"Alolan Diglett always feel the need to dig through volcanic rocks, making them much stronger than their other regional counterparts"
8,Diglett, Their head whiskers change shape depending on their mood
0,Dugtrio,"Like Diglett, Dugtrio loathe sunlight"
1,Dugtrio," Nonetheless, Dugtrio are more aggressive than Diglett, and they'll try all kinds of methods to attack its enemy or opponents who are digging holes underground from all directions"
2,Dugtrio, Druddigon is a known predator of it
3,Dugtrio,"Regardless, Dugtrio are very friendly with humans"
4,Dugtrio, Kantonian Dugtrio help people with agriculture while the Alolan Dugtrio are worshipped as the Goddess of The Land
5,Dugtrio,Dugtrio live underground in caves
6,Dugtrio," However, in Pikachu's Rescue Adventure, they live in hollow trees as well"
0,Meowth,"Meowth usually preys on other weaker Pokémon, showing that it is carnivorous"
1,Meowth," However, it sometimes takes in fruits, so it is more accurate to call it an omnivore"
2,Meowth,"Meowth is largely nocturnal and often prowls the streets looking for loose change, as it is attracted to bright shiny objects for some unexplained reason"
3,Meowth, It always cleans its face to prevent its forehead coin from getting dirtied
4,Meowth," It is common to witness Meowth ferociously disputing with Murkrow, which is also known for being equally obsessed with glowing things"
5,Meowth," Although it can be easily drawn by coins and may befriend people that offers them, its fickleness cannot guarantee such friendships will last; when it is feeling good, it will be willing to share a look of its hoarded treasures to its Trainer"
6,Meowth,Meowth are common Pokémon roaming and dwelling in cities and towns
7,Meowth, Some reside at forests or near beaches
8,Meowth," Most are ubiquitous in Kanto and Johto, but uncommon in Sinnoh"
9,Meowth,"Alolan Meowth is extremely cunning, capricious and proud, and will become very aggressive when someone dirties its coin or hurts its self-esteem"
10,Meowth, It is also extremely picky about food due to its kind having dwelt with royalties for centuries
11,Meowth," Nonetheless, it is popular among Trainers who prefer giving more attention to others than themselves"
12,Meowth, It usually repeatedly targets its foes' blind spots during battles
13,Meowth,Alolan Meowth were not originated from Alola but instead being an imported species for the royalties
14,Meowth, The collapse of dynasties have caused them to become more and more commonplace around Alola
15,Meowth,"Its Galarian Form is a warrior, often showing off the dark coin on its head to others"
16,Meowth," The darker and harder its coin, the more respect it can earn from its kind"
17,Meowth, It doesn't get along with its Kantonian variant
18,Meowth," These Meowth spent much of their lives aboard ships, helping their trainers plunder defenseless villages near beaches and rivers"
19,Meowth," When these raiders returned to their northern homes, they shared some of their stolen riches with their Pokémon"
0,Persian,"This Pokémon, while very beautiful and elegant is not the best pet, especially for new trainers"
1,Persian," The reason for this is that Persian are known to have unpredictable temperaments and are apt to turn vicious in the blink of an eye, one moment it might be contentedly purring and rubbing its head against its trainer's hand while it is being petted, the next it could unsheath its claws and scratch the hand that was petting it"
2,Persian, Its tail raising straight is a sign of it being ready to pounce and attack
3,Persian,"The Alolan form of this Pokémon is even more difficult to look after, since it was spoiled by the royal families in ancient Alola and thus has made them much more disobedient towards Trainers"
4,Persian," Despite this, it could be a strong battler in battles but not without applying underhanded tactics such as blindsiding and sucker punching, and will hostilely torment its fallen foes, though it sometimes gets defeated by opponents' counterattacks because of underestimation"
0,Psyduck,Psyduck always hold their heads due to the fact that they have a near-constant headache
1,Psyduck," This makes them seem like they are unintelligent, when in fact they are quite clever and wily"
0,Golduck,"Using their webbed limbs, they can easily outspeed even the fastest human swimmers, and as such can make quick work of agile fish; they may even use their psychic abilities to disorient and disable their prey before catching them"
1,Golduck," Surprisingly, Golduck rely heavily on their tails for swimming strength, stamina and maneuverability in addition to their limbs"
2,Golduck, Golduck can swim for two days straight without rest
3,Golduck, They can often be seen gliding agilely through the water at dusk in slower rivers (though they have no trouble with currents)
4,Golduck,"Most scientists believe that Golduck, with their duck-like appearances and crepuscular natures, are the inspiration behind the mythical kappa, a common myth in regions like Kanto and Johto; in these regions, they were thought to punish those who polluted their rivers by pulling them beneath the waters"
0,Mankey,Mankey are known for their incredibly short tempers
1,Mankey, Even the slightest provocation can send them into fits of rage
2,Mankey, Their bodies shudder uncontrollably and their nostrils flare up right before they strike
3,Mankey," Then, they launch relentless flurries of attacks at their foes before they even get a chance to retaliate or escape"
4,Mankey," Despite their temperaments, Mankey are very social Pokémon that live in groups in the treetops"
5,Mankey," If one Mankey is angered, the entire colony will attack"
6,Mankey," In their huge frenzies, they are unable to tell friend from foe and may even attack one another, becoming even angrier"
7,Mankey," They are very agile creatures, able to swing in the trees to chase foes"
8,Mankey," If they lose track of their colonies, they will be infuriated by their own loneliness and attack everything they see"
9,Mankey," They may pass out from their tantrums, but be so angry in their dreams that they reawaken, and then become further enraged by the interruption"
10,Mankey," Notably, they enjoy bananas, Chesto Berries, and chestnuts, but their inability to peel the latter greatly enrages them"
11,Mankey," In Alola, it is said that Mankey live a long time because they never hold in their anger"
