,Pokemon,variable,value
499,Gogoat,Caption,a cartoon goat with long horns and green leaves
500,Moltres,Caption,a yellow and red bird flying through the air
501,Dragonite,Caption,a cartoon of a dragon sitting on its hind legs
502,Golurk,Caption,a blue robot with two arms and legs
503,Metapod,Caption,a cartoon green object with eyes and a nose
504,Emboar,Caption,a cartoon character with a big bird on it's chest
505,Magneton,Caption,a couple of cartoon characters standing next to each other
506,Golisopod,Caption,a white and purple robot with a black background
507,Marowak,Caption,an orange and white cartoon character with a large bone on his head
508,Gigalith,Caption,a very cute looking pokemon with big eyes
509,Exeggutor,Caption,a pineapple plant with two faces on it
510,Mesprit,Caption,a pink and white cartoon character with yellow eyes
511,Jolteon,Caption,a yellow and white pokemon pikachu
512,Groudon,Caption,a red and white dragon with sharp teeth
513,Wobbuffet,Caption,an image of a cartoon character with a big smile
514,Delphox,Caption,a drawing of a red and yellow bird holding a stick
515,Exploud,Caption,a cartoon picture of a dragon with its mouth open
516,Dracozolt,Caption,a cartoon of a yellow and red dragon
517,Iron Bundle,Caption,a cartoon character holding a blue object
518,Mantyke,Caption,a cartoon character with a blue hat on
519,Malamar,Caption,a drawing of a cartoon character with blue hair
520,Pelipper,Caption,a blue and white bird with its mouth open
521,Simisage,Caption,a green and white cartoon character with big eyes
522,Espeon,Caption,a white pokemon with red eyes sitting down
523,Paras,Caption,a cartoon spider with big eyes and a pink hat
524,Noctowl,Caption,an owl with a crown on its head
525,Hitmonlee,Caption,an image of a cartoon character doing a trick
526,Slaking,Caption,a very cute looking cartoon character laying down
527,Solrock,Caption,a cartoon sun with two eyes and two arms
528,Komala,Caption,a cartoon koala hugging a piece of bread
529,Poliwhirl,Caption,a cartoon character holding a target
530,Palpitoad,Caption,a cartoon bird with a hat on its head
531,Eelektross,Caption,a very cute looking cartoon character with big teeth
532,Tangrowth,Caption,a blue monster with pink legs and a black face
533,Slurpuff,Caption,a cartoon character with pink hair and a pom pom on top of it
534,Patrat,Caption,a cartoon character with a big smile on his face
535,Spheal,Caption,a blue and white cartoon shark with its mouth open
536,Seadra,Caption,a very cute looking blue and yellow dragon
537,Ralts,Caption,a white cat with a green hat and pink ears
538,Registeel,Caption,a cartoon character with red eyes and arms
539,Arcanine,Caption,a drawing of a furry animal with glasses
540,Fomantis,Caption,a cartoon character with green hair and a pink nose
541,Lotad,Caption,a blue bird with a green hat on its head
542,Smoliv,Caption,a cartoon character with a green leaf on its head
543,Kyogre,Caption,a drawing of a blue fish with red eyes
544,Aerodactyl,Caption,a cartoon of a dragon with its mouth open
545,Pincurchin,Caption,a purple and yellow animal with spikes on it's head
546,Bronzor,Caption,a blue and yellow object with two yellow eyes
547,Sylveon,Caption,a pink and blue pokemon with big ears
548,Sharpedo,Caption,a cartoon shark with its mouth open and sharp teeth
549,Cufant,Caption,a cartoon elephant with a hat on its head
550,Quilladin,Caption,a cartoon character flying through the air
551,Prinplup,Caption,a blue and white bird with a yellow beak
552,Feebas,Caption,a cartoon fish with a pink tongue sticking out of it's mouth
553,Metagross,Caption,a drawing of a blue robot with red eyes
554,Fearow,Caption,an orange bird with white wings and a pink beak
555,Empoleon,Caption,a black and white penguin with a blue cape
556,Chimchar,Caption,a cartoon monkey with a big smile on his face
557,Sandaconda,Caption,a cartoon character is laying down on the ground
558,Staryu,Caption,a star with a pink ball inside of it
559,Grimmsnarl,Caption,a cartoon character with a demon like body
560,Rhyperior,Caption,a cartoon character with a big smile on his face
561,Pancham,Caption,a cartoon panda bear with a leaf in its mouth
562,Dwebble,Caption,a cartoon picture of a giant rock with eyes
563,Bruxish,Caption,a cartoon character with a big smile on his face
564,Armaldo,Caption,a blue and yellow pokemon figure
565,Phione,Caption,a blue cartoon character with big eyes
566,Frosmoth,Caption,a white bird flying through a blue sky
567,Pansear,Caption,a red and yellow cartoon character with big eyes
568,Alcremie,Caption,a cartoon character with white hair and red eyes
569,Joltik,Caption,a yellow pokemon pikachu with blue eyes
570,Happiny,Caption,a pink cartoon character sitting in a bowl
571,Spearow,Caption,a very cute looking bird with a big beak
572,Helioptile,Caption,a yellow and black pokemon with big eyes
573,Kingambit,Caption,a cartoon character sitting down with a sword in his hand
574,Maractus,Caption,a green and yellow cartoon character with flowers on its head
575,Wooloo,Caption,a white sheep with a black face and tail
576,Diancie,Caption,a very cute looking pokemon with a big pink object
577,Rabsca,Caption,a cartoon character holding a large object in his hand
578,Poipole,Caption,a very cute looking cartoon character on a black background
579,Muk,Caption,a purple monster with its mouth open
580,Klink,Caption,two gears with eyes and a cross on them
581,Scizor,Caption,a red pokemon character with a sword in his hand
582,Gorebyss,Caption,a pink squid with big eyes and a tail
583,Noivern,Caption,a drawing of a bird with wings and a tail
584,Herdier,Caption,a drawing of a dog with big eyes
585,Whiscash,Caption,a blue cartoon character floating on top of a body of water
586,Tynamo,Caption,a white object with a yellow line on it
587,Diglett,Caption,a cartoon character with a nose sticking out of the ground
588,Wyrdeer,Caption,a cartoon of a reindeer with antlers on it's head
589,Krokorok,Caption,a very cute looking cartoon character
590,Skarmory,Caption,a very cute looking pokemon with big wings
591,Remoraid,Caption,a cartoon fish with its mouth wide open
592,Hitmontop,Caption,a drawing of a cartoon character with big eyes
593,Hoppip,Caption,a pink pig with green arrows sticking out of it's head
594,Snom,Caption,a cartoon character sleeping on top of an iceberg
595,Cosmoem,Caption,a flower with a smiley face on it
596,Miraidon,Caption,a drawing of a blue and yellow dragon
597,Numel,Caption,a yellow and green cartoon animal sitting on a black background
598,Glalie,Caption,a white and black cat's head with blue eyes
599,Vaporeon,Caption,a blue and yellow cartoon character flying through the air
600,Porygon-Z,Caption,a pink and blue toy flying through the air
601,Bastiodon,Caption,a drawing of a triloon and a triloon
602,Lunatone,Caption,a computer generated image of a mechanical device
603,Machoke,Caption,a cartoon character with a big smile on his face
604,Slowbro,Caption,a pink and purple cartoon character holding a silver object
605,Mareanie,Caption,a very cute looking cartoon character with big ears
606,Mandibuzz,Caption,a bird with a large beak and large wings
607,Arceus,Caption,a very cute looking cartoon character with a sword
608,Throh,Caption,a cartoon character with an angry look on his face
609,Abomasnow,Caption,a white pokemon with green leaves on it
610,Bronzong,Caption,a cartoon character is holding a bell
611,Flittle,Caption,a yellow bird with a bow on its head
612,Nihilego,Caption,a drawing of a white monster with sharp teeth
613,Greninja,Caption,a very cute looking cartoon character with a big smile
614,Kecleon,Caption,a pink and green cartoon character sitting on top of a black background
615,Crustle,Caption,a cartoon character holding a giant rock
616,Shuppet,Caption,a blue cartoon character with yellow eyes
617,Stonjourner,Caption,a pair of rocks with crosses on them
618,Gossifleur,Caption,a drawing of a yellow bird with red wings
619,Ducklett,Caption,a blue bird with a yellow beak
620,Plusle,Caption,a cartoon bunny with a red ribbon around its neck
621,Poliwag,Caption,a blue bird with a pink nose and tail
622,Treecko,Caption,a green cartoon character with a red shirt
623,Torchic,Caption,a cartoon bird with a big smile on its face
624,Kabutops,Caption,a brown and white cartoon character holding a knife
625,Dunsparce,Caption,a yellow and blue toy flying through the air
626,Flygon,Caption,a green dragon with red eyes and wings
627,Spectrier,Caption,a drawing of a black horse with purple manes
628,Orbeetle,Caption,a ladybug with big eyes and big legs
629,Dugtrio,Caption,a group of three cartoon characters sitting on top of a pile of rocks
630,Marill,Caption,a cartoon character with a balloon in the air
631,Magearna,Caption,a cartoon character in a white and gold outfit
632,Silvally,Caption,a very cute looking cartoon character with big eyes
633,Cacnea,Caption,a green stuffed animal with a crown on it's head
634,Oddish,Caption,a blue flower pot with a green plant in it
635,Veluza,Caption,a cartoon shark with its mouth open and teeth wide open
636,Glimmora,Caption,a blue ball with a yellow light on it
637,Litwick,Caption,a cartoon ghost with a purple hat on its head
638,Pidgeot,Caption,a bird with a long beak flying through the air
639,Ribombee,Caption,a drawing of a cute little bee with big eyes
640,Sandslash,Caption,a very cute looking yellow pokemon character
641,Drilbur,Caption,a cartoon character with a big smile on his face
642,Slugma,Caption,a cartoon of a red creature with yellow eyes
643,Cranidos,Caption,a gray and blue pokemon character with red eyes
644,Jirachi,Caption,a cartoon character flying through the air
645,Chansey,Caption,a pink cartoon character holding a ball
646,Blacephalon,Caption,a drawing of a person holding a ball
647,Arctozolt,Caption,a very cute looking cartoon character sitting on top of a ball
648,Kangaskhan,Caption,a cartoon character holding a stuffed animal
649,Pichu,Caption,a cartoon pikachu with a black background
650,Hoopa Hoopa Confined,Caption,a cartoon character with a ring around his neck
651,Duskull,Caption,a cartoon character with a pink light in his eyes
652,Chingling,Caption,a pokemon pikachu flying through the air
653,Whirlipede,Caption,a drawing of a fish with a big yellow eye
654,Camerupt,Caption,a cartoon picture of a pink cow with blue numbers on it
655,Silicobra,Caption,a cartoon animal with green eyes sitting down
656,Ferroseed,Caption,a green and white ball with yellow eyes
657,Aron,Caption,a cartoon character with a big blue eye
658,Toucannon,Caption,a toucan bird with a colorful beak
659,Giratina Altered Forme,Caption,a yellow and black dragon sitting on top of a black ground
660,Riolu,Caption,a cartoon character in a blue outfit
661,Zekrom,Caption,a very cute looking pokemon with big wings
662,Haunter,Caption,a drawing of a purple cat with big eyes
663,Politoed,Caption,a green frog with a pink tongue sticking out
664,Iron Moth,Caption,a bug that is sitting on top of a black surface
665,Milotic,Caption,a pink and blue bird with a red ribbon around its neck
666,Golduck,Caption,a very cute looking pokemon character with a big smile
667,Absol,Caption,a white and black cartoon character with red eyes
668,Glaceon,Caption,a white and blue dog with a blue tail
669,Mienshao,Caption,a drawing of a white cat with yellow horns
670,Sprigatito,Caption,a green and white cat with big eyes
671,Tepig,Caption,a cartoon animal with a big nose and a big nose
672,Klang,Caption,a gear wheel with a blue ball inside of it
673,Barbaracle,Caption,a drawing of a cartoon character with claws
674,Zapdos,Caption,a yellow star with two birds on it
675,Clauncher,Caption,a drawing of a cartoon character with big eyes
